"year","year_type","grid","squirrel_id","sex","cache_size_total","cache_size_new","cache_size_old","total_cones_tree","log_cache_size_new","log_cache_size_old","log_total_cones_tree"
2010,"mast","KL",8331,"F",2773.60088911461,345.329754968816,2428.2711341458,1871.957,5.84739137023765,7.79534654654619,7.53527374435888
2008,"non-mast","KL",8518,"F",0,0,0,43.465,0,0,3.7947023628516
2008,"non-mast","KL",8592,"F",1076.48635770663,788.58884343625,287.897514270377,43.465,6.67151235863274,5.66607200331741,3.7947023628516
2008,"non-mast","KL",8680,"M",390.676954135671,0,390.676954135671,43.465,0,5.97043740344352,3.7947023628516
2008,"non-mast","KL",8722,"M",0,0,0,43.465,0,0,3.7947023628516
2008,"non-mast","KL",8727,"F",8542.1867746515,8253.55294960293,288.633825048562,43.465,9.01852019978215,5.6686174528919,3.7947023628516
2008,"non-mast","KL",8728,"M",2656.48111507493,1591.44029935364,1065.04081572128,43.465,7.37302289811167,6.97170689266192,3.7947023628516
2008,"non-mast","KL",8729,"M",19706.104886263,10138.8862419152,9567.21864434777,43.465,9.22423205833621,9.16620232755429,3.7947023628516
2008,"non-mast","KL",8730,"M",26651.4067524177,21976.4223595649,4674.98439285289,43.465,9.99777094899539,8.45019498487315,3.7947023628516
2008,"non-mast","KL",8732,"F",1406.68901679917,149.929236900225,1256.75977989895,43.465,5.01681109717383,7.13708746505096,3.7947023628516
2008,"non-mast","KL",8733,"F",1121.12042624943,1108.70949902157,12.4109272278534,43.465,7.01185354746049,2.5960698394113,3.7947023628516
2010,"mast","KL",8760,"M",16285.8199666686,13411.8517372565,2873.96822941211,1871.957,9.50396861118086,7.96379690253113,7.53527374435888
2015,"post-mast","KL",8770,"F",30.4341788316511,0,30.4341788316511,0.006,0,3.44789579875328,0.00598207167754747
2012,"non-mast","SU",8775,"M",28730.9120146299,1039.60536895042,27691.3066456794,36.241,6.9475579083186,10.2289099151758,3.61741030489474
2013,"non-mast","SU",8775,"M",46325.7289202942,36871.4985283975,9454.23039189678,59.005,10.5152212548231,9.15432334799788,4.0944278920834
2012,"non-mast","SU",10037,"M",27681.4564437135,6724.87359932023,20956.5828443933,36.241,8.81371709927799,9.95025580947537,3.61741030489474
2013,"non-mast","SU",10037,"M",60821.2337734984,38497.0763770893,22324.1573964091,59.005,10.5583635547962,10.0134694559509,4.0944278920834
2012,"non-mast","SU",10043,"M",7704.75598292897,1413.71669411541,6291.03928881356,36.241,7.25468457385855,8.74704050840749,3.61741030489474
2013,"non-mast","SU",10043,"M",26287.6692279943,23210.7410231909,3076.9282048034,59.005,10.0524135082256,8.03201198885174,4.0944278920834
2016,"non-mast","SU",10043,"M",473.96597499471,0,473.96597499471,3.118,0,6.16324316987889,1.4153676086056
2017,"non-mast","SU",10043,"M",10036.0795312804,9889.21007472507,146.869456555323,44.479,9.19930066551605,4.99632983422697,3.81725068095371
2011,"post-mast","KL",10046,"F",219.464245130462,0,219.464245130462,0.037,0,5.39573552813524,0.0363319292473902
2012,"non-mast","KL",10046,"F",190.589954317781,142.942465738336,47.6474885794452,129.998,4.96941367625346,3.88460018508875,4.87518205590903
2013,"non-mast","KL",10046,"F",22086.4435522874,21117.0004192672,969.44313302025,152.574,9.95788105622,6.87775280534385,5.03418253555231
2012,"non-mast","KL",10047,"M",4929.25704825281,4790.01249886714,139.244549385673,129.998,8.47449704570191,4.94338768008733,4.87518205590903
2014,"mast","SU",10047,"M",39238.6231430304,38039.1892478286,1199.4338952018,263.342,10.5463984916162,7.09043834975687,5.57724371931451
2013,"non-mast","SU",10048,"F",4118.10437008062,3267.25635973338,850.848010347236,59.005,8.09201189835406,6.74740811930441,4.0944278920834
2014,"mast","SU",10048,"F",30295.8614884306,25362.3611084338,4933.50037999672,263.342,10.1410609355906,8.50400670662021,5.57724371931451
2012,"non-mast","SU",10049,"M",4075.25653694416,49.6982504505385,4025.55828649362,36.241,3.9258914021228,8.30066726685258,3.61741030489474
2009,"non-mast","SU",10115,"M",10164.3394146863,9582.03212637407,582.307288312258,38.197,9.16774932677204,6.36871412864511,3.66860021325556
2009,"non-mast","SU",10120,"M",19352.3539176533,17384.3179260276,1968.03599162576,38.197,9.76338133165051,7.58529935761161,3.66860021325556
2008,"non-mast","KL",10121,"M",8811.80741916115,5721.66925358171,3090.13816557944,43.465,8.6521906282494,8.03629464044709,3.7947023628516
2009,"non-mast","KL",10121,"M",22917.2802719298,20153.2214250851,2764.05884684473,93.163,9.91116904543699,7.92481719649478,4.54502732310718
2009,"non-mast","SU",10133,"F",1668.97109721958,911.06186954104,757.909227678538,38.197,6.81570782718238,6.63188217561719,3.66860021325556
2009,"non-mast","SU",10135,"M",28589.6712449122,28285.1331070549,304.538137857361,38.197,10.2501269673268,5.72207460832373,3.66860021325556
2008,"non-mast","KL",10136,"M",20169.7011511316,6475.23697474591,13694.4641763857,43.465,8.77589490689299,9.52481997498082,3.7947023628516
2008,"non-mast","KL",10137,"F",3754.3341207337,3208.64602178985,545.688098943852,43.465,8.07391593645777,6.30387843676672,3.7947023628516
2008,"non-mast","KL",10138,"M",10479.4695194417,9973.67310221377,505.796417227957,43.465,9.20780446951317,6.22810937902175,3.7947023628516
2009,"non-mast","KL",10140,"F",1917.68733332116,1631.05790983544,286.629423485725,93.163,7.3975970188623,5.6616729275879,4.54502732310718
2008,"non-mast","KL",10146,"M",6571.16463375865,4516.03943953533,2055.12519422332,43.465,8.41561206697255,7.62857851685317,3.7947023628516
2008,"non-mast","KL",10153,"M",7696.00888359182,1667.5734702795,6028.43541331232,43.465,7.41972433095257,8.70440865570459,3.7947023628516
2009,"non-mast","SU",10160,"F",108.855367323799,0,108.855367323799,38.197,0,4.69916465811764,3.66860021325556
2009,"non-mast","KL",10177,"M",2690.38140871796,2195.18786669587,495.193542022091,93.163,7.69447834846748,6.20696605630419,4.54502732310718
2008,"non-mast","KL",10178,"M",13738.4546547668,6076.7728523617,7661.68180240514,43.465,8.712393600676,8.9441173062149,3.7947023628516
2009,"non-mast","KL",10178,"M",1813.18983497343,522.277506813,1290.91232816043,93.163,6.26011192910446,7.16387882457916,4.54502732310718
2009,"non-mast","KL",10182,"F",243.657508347755,243.657508347755,0,93.163,5.49985930742465,0,4.54502732310718
2011,"post-mast","KL",10182,"F",6970.14690076456,0,6970.14690076456,0.037,0,8.84953503839082,0.0363319292473902
2008,"non-mast","KL",10183,"F",17445.8257832371,8145.75159752272,9300.07418571439,43.465,9.00537454979091,9.13788517631155,3.7947023628516
2009,"non-mast","KL",10184,"F",147.773482566317,88.66408953979,59.1093930265267,93.163,4.49607034932876,4.09616611928801,4.54502732310718
2010,"mast","KL",10184,"F",1210.38583625807,978.257045742822,232.128790515246,1871.957,6.88679416755996,5.45159104984872,7.53527374435888
2009,"non-mast","SU",10185,"M",6156.5180367161,5429.37023710396,727.147799612138,38.197,8.5997625942323,6.59050404903587,3.66860021325556
2009,"non-mast","SU",10191,"F",8109.80872323947,7941.43899196114,168.369731278328,38.197,8.97997568490059,5.13208408430632,3.66860021325556
2008,"non-mast","KL",10212,"M",8516.7595091115,782.747444595982,7734.01206451552,43.465,6.66408683145822,8.95351232273646,3.7947023628516
2008,"non-mast","KL",10274,"M",14537.2659461736,2876.53713590489,11660.7288102687,43.465,7.96469004612697,9.36406771737595,3.7947023628516
2008,"non-mast","KL",10275,"M",8613.19985859202,5329.41741250381,3283.78244608821,43.465,8.58118482788411,8.09705570226848,3.7947023628516
2009,"non-mast","KL",10275,"M",16645.9250245864,15268.2139275242,1377.71109706215,93.163,9.63359391866394,7.2289043540769,4.54502732310718
2009,"non-mast","KL",10285,"M",11329.2376073143,11180.4387438124,148.798863501863,93.163,9.32201042750024,5.0092934842844,4.54502732310718
2008,"non-mast","KL",10317,"F",13065.8347588947,1145.77320193385,11920.0615569609,43.465,7.04470736604683,9.38606199344604,3.7947023628516
2008,"non-mast","KL",10318,"F",3179.61083343675,2955.91961902412,223.691214412636,43.465,7.99190333619728,5.41472707923969,3.7947023628516
2009,"non-mast","KL",10318,"F",1311.94218210849,1289.14381875431,22.7983633541759,93.163,7.1625089785479,3.16961681168163,4.54502732310718
2011,"post-mast","KL",10318,"F",1814.85880607065,0,1814.85880607065,0.037,0,7.50431380617746,0.0363319292473902
